"Date d'entrée"	"Date de sortie"	"Type"	"Nb barres"	"Perf abs"	"Perf relat(%)"	"MFE"	"MAE"	"Gain unitaire"
"22 avr. 2020, 21:00:00"	"28 avr. 2020, 13:00:00"	"Long"	"23"	"-39,60€"	"-0,38%"	"121,80€"	"-79,20€"	"-6,6"
"19 avr. 2020, 21:00:00"	"22 avr. 2020, 21:00:00"	"Court"	"18"	"-202,20€"	"-2,00%"	"36,00€"	"-221,40€"	"-33,7"
"11 mars 2020, 21:00:00"	"23 mars 2020, 21:00:00"	"Court"	"50"	"411,00€"	"+5,02%"	"870,00€"	"-39,50€"	"+82,2"
"4 mars 2020, 05:00:00"	"11 mars 2020, 21:00:00"	"Long"	"35"	"-30,00€"	"-0,37%"	"288,40€"	"-70,10€"	"-6,0"
"28 févr. 2020, 13:00:00"	"4 mars 2020, 05:00:00"	"Court"	"17"	"-88,90€"	"-0,78%"	"323,40€"	"-119,40€"	"-12,7"
"9 févr. 2020, 21:00:00"	"12 févr. 2020, 09:00:00"	"Long"	"15"	"-65,80€"	"-0,30%"	"79,40€"	"-73,20€"	"-4,7"
"23 janv. 2020, 13:00:00"	"9 févr. 2020, 21:00:00"	"Court"	"71"	"-273,60€"	"-1,10%"	"0,00€"	"-594,00€"	"-17,1"
"12 janv. 2020, 21:00:00"	"23 janv. 2020, 13:00:00"	"Long"	"53"	"-66,00€"	"-0,42%"	"100,30€"	"-201,70€"	"-6,6"
"10 janv. 2020, 05:00:00"	"12 janv. 2020, 21:00:00"	"Court"	"5"	"-117,90€"	"-0,85%"	"0,00€"	"-146,20€"	"-13,1"
"11 déc. 2019, 21:00:00"	"10 janv. 2020, 05:00:00"	"Long"	"115"	"1370,00€"	"+4,64%"	"2348,20€"	"-253,80€"	"+68,5"
"8 déc. 2019, 21:00:00"	"11 déc. 2019, 21:00:00"	"Court"	"18"	"-340,20€"	"-1,30%"	"0,00€"	"-402,20€"	"-18,9"
"22 nov. 2019, 01:00:00"	"2 déc. 2019, 17:00:00"	"Court"	"41"	"20,80€"	"+0,09%"	"174,40€"	"-102,40€"	"+1,3"
"18 nov. 2019, 17:00:00"	"22 nov. 2019, 01:00:00"	"Long"	"20"	"-112,00€"	"-0,48%"	"92,80€"	"-118,40€"	"-7,0"
